Season;FG;3P;FT;TRB;AST;STL;BLK;TOV;PF;PTS;Playoffs
2022-23;43.6;13.8;19.8;42.5;27.3;7.0;3.4;13.5;19.7;120.7;YES
2022-23;43.1;16.6;16.0;44.6;29.8;7.2;3.9;16.3;21.4;118.9;YES
2022-23;44.6;10.8;18.5;44.4;25.0;7.1;4.9;12.9;18.8;118.4;YES
2022-23;42.2;16.0;17.5;45.3;26.7;6.4;5.2;13.4;18.8;117.9;YES
2022-23;43.1;12.1;19.2;43.6;24.4;8.2;4.2;13.0;21.0;117.5;YES
2022-23;42.9;10.8;20.6;45.7;25.3;6.4;4.6;14.1;17.9;117.2;YES
2022-23;42.5;13.3;18.7;45.9;26.0;6.1;5.2;15.4;20.5;117.1;NO
2022-23;43.7;12.0;17.5;46.6;26.0;8.3;5.8;13.6;20.0;116.9;YES
2022-23;42.7;14.8;16.6;48.6;25.8;6.4;4.9;14.6;18.1;116.9;YES
2022-23;42.0;13.6;18.7;41.5;27.0;7.7;5.8;14.9;21.2;116.3;NO
2022-23;42.0;12.6;19.4;46.6;22.9;6.4;4.1;13.0;20.3;116.0;YES
2022-23;43.6;11.8;16.8;43.0;28.9;7.5;4.5;14.5;18.6;115.8;YES
2022-23;42.9;12.2;17.9;41.9;26.2;8.0;5.4;15.3;21.6;115.8;YES
2022-23;40.8;12.6;21.0;40.9;25.2;7.7;4.7;13.7;20.4;115.2;YES
2022-23;42.0;11.0;19.3;43.7;25.9;8.3;4.1;14.6;20.5;114.4;YES
2022-23;40.0;15.2;19.0;38.8;22.9;6.3;3.7;12.2;20.7;114.2;NO
2022-23;42.1;12.2;17.2;44.2;27.3;7.1;5.3;13.5;21.2;113.6;YES
2022-23;41.1;12.7;18.7;43.2;23.9;7.1;4.4;14.2;19.5;113.6;YES
2022-23;40.5;12.9;19.6;40.5;24.2;6.7;4.6;14.5;20.0;113.4;NO
2022-23;41.5;12.8;17.7;40.5;25.5;7.1;6.2;13.7;21.1;113.4;YES
2022-23;42.1;11.3;17.6;43.6;25.4;6.8;5.2;14.1;18.8;113.2;NO
2022-23;42.5;10.4;17.6;42.4;24.5;7.9;4.5;13.4;18.9;113.1;YES
2022-23;43.1;11.1;15.8;43.7;27.2;7.0;3.9;15.3;19.9;113.0;NO
2022-23;41.9;10.7;18.4;43.0;23.9;9.4;5.2;11.7;20.0;112.9;YES
2022-23;41.6;11.6;17.5;41.1;24.9;7.1;4.7;13.3;19.0;112.3;YES
2022-23;40.5;10.8;19.6;43.2;23.2;7.4;4.7;15.1;20.1;111.4;NO
2022-23;41.3;10.7;17.6;44.5;25.1;7.7;5.2;14.2;20.3;111.0;NO
2022-23;40.6;10.4;19.1;46.3;22.4;7.3;4.6;16.2;20.5;110.7;NO
2022-23;39.6;11.4;19.8;42.4;23.0;7.0;3.8;15.1;22.1;110.3;NO
2022-23;39.2;12.0;19.1;40.6;23.8;8.0;3.0;13.5;18.5;109.5;YES
2021-22;41.6;14.8;18.0;44.2;25.7;8.8;5.6;14.3;21.8;115.9;YES
2021-22;43.5;11.5;17.0;49.2;26.0;9.8;6.5;13.2;19.8;115.6;YES
2021-22;41.8;14.1;17.8;46.7;23.9;7.6;4.0;13.4;18.2;115.5;YES
2021-22;42.8;13.9;15.8;44.6;28.1;8.6;4.9;13.3;19.9;115.3;NO
